uai - identifiant;Libellé;Site internet;Géolocalisation;Code académie;Académie;Adresse;Code postal;Localité;Pays;Numéro de téléphone;compte_facebook;compte_twitter;compte_flickr;flux_rss;compte_linkedin;compte_pinterest;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_viadeo;compte_dailymotion;compte_vimeo;compte_youtube;compte_googleplus;autres;Effectifs d'étudiants inscrits 2014-15
0593279U;Université de Valenciennes et du Hainaut-Cambrésis;http://www.univ-valenciennes.fr/;50.3267, 3.51141;A09;Lille;;59300;AULNOY LEZ VALENCIENNES;France;327511234;https://www.facebook.com/univ.valenciennes.page.officielle;;;http://www.univ-valenciennes.fr/rss.xml;;;;;;;;;;;;;10369
0691775E;Université Lumière - Lyon 2;http://www.univ-lyon2.fr/;45.7492, 4.83714;A10;Lyon;86 RUE PASTEUR;69365;LYON CEDEX 07;France;478697152;https://www.facebook.com/Universite.Lumiere.Lyon2?ref=ts;https://twitter.com/univ_lyon2;http://www.flickr.com/photos/lyon2/;;;;;;;;;;;http://www.youtube.com/user/UnivLyon2;;;29279
0692437Z;Université Jean Moulin - Lyon 3;http://www.univ-lyon3.fr/;45.7518, 4.83716;A10;Lyon;1 RUE DE L'UNIVERSITE;69239;LYON CEDEX 02;France;478787878;https://www.facebook.com/pages/UNIVERSIT%C3%89-JEAN-MOULIN-LYON-3/2293828314895;https://twitter.com/UJML;;http://www.univ-lyon3.fr/fr/menus/outils/flux-rss/;;;;;;;;;;;;;25828
0751718K;Université Panthéon-Assas;http://www.u-paris2.fr/;48.8468, 2.34488;A01;Paris;12 PLACE DU PANTHEON;75231;PARIS CEDEX 05;France;144415700;https://www.facebook.com/pages/Universit%C3%A9-Paris-II-Panth%C3%A9on-Assas/186728765857;https://twitter.com/AssasParisII;;;;;;;;;;;;https://www.youtube.com/user/UniversiteAssas;;;16592
0751720M;Université Paris-Sorbonne;http://www.paris-sorbonne.fr/;48.8483, 2.34281;A01;Paris;1 RUE VICTOR COUSIN;75230;PARIS CEDEX 05;France;140462211;https://www.facebook.com/Universite.Paris.Sorbonne;https://twitter.com/Paris_Sorbonne;;;;;;;;;;;;https://www.youtube.com/user/UnivParisSorbonne4;;;19698
0751722P;Université Pierre et Marie Curie;http://www.upmc.fr/;48.8466, 2.35448;A01;Paris;4 PLACE JUSSIEU;75252;PARIS CEDEX 05;France;144274427;https://www.facebook.com/upmc.france;https://twitter.com/upmc;;http://www.upmc.fr/fr/rss.xml;https://www.linkedin.com/edu/school?id=12554;;;;;;http://www.viadeo.com/fr/groups/upmc;;;;;http://www.pro.upmc.fr/login.php;32183
0801344B;Université de Picardie Jules-Verne;http://www.u-picardie.fr/;49.8743, 2.26417;A20;Amiens;CHEMIN DU THIL;80021;AMIENS CEDEX 1;France;322827272;https://www.facebook.com/UPJV.8;https://twitter.com/upjv;;http://www.u-picardie.fr/adminsite/webservices/export_rss.jsp?SELECTION=3&TYPE_EVENEMENT=ACTU-UN1#NOMBRE=1;;;;;;;;;;;;;23816
0911101C;Université Paris-Sud;http://www.u-psud.fr/;48.698, 2.17955;A25;Versailles;15 RUE GEORGES CLEMENCEAU;91405;ORSAY CEDEX;France;169156750;https://www.facebook.com/UnivParisSud;https://twitter.com/u_psud;;http://www.actu.u-psud.fr/fr/flux-rss.html;;;;;;;;;;https://www.youtube.com/user/ParisSud;https://plus.google.com/+upsud;;28242
0951793H;Université de Cergy-Pontoise;http://www.u-cergy.fr/;49.0342, 2.06771;A25;Versailles;33 BOULEVARD DU PORT;95011;CERGY PONTOISE CEDEX;France;134256000;https://www.facebook.com/UniversiteCergyPontoise?ref=tn_tnmn;https://twitter.com/UniversiteCergy;;http://www.u-cergy.fr/_plugins/web/www/fr/filter/org.ametys.web.new.RSS.accueil/rss.xml;;;;;;;;;;;https://plus.google.com/+universitecergy/posts;;12827
0171463Y;Université de La Rochelle;http://www.univ-larochelle.fr/;46.1482, -1.15506;A13;Poitiers;23 AVENUE ALBERT EINSTEIN;17071;LA ROCHELLE CEDEX 9;France;546459114;https://www.facebook.com/Universite.de.La.Rochelle;https://twitter.com/UnivLaRochelle;;http://www.univ-larochelle.fr/spip.php?page=agenda-rss;;;;;;;;;;;https://plus.google.com/116774829465696597/posts;;7382
0211237F;Université de Bourgogne;http://www.u-bourgogne.fr/;47.3248, 5.05649;A07;Dijon;;21078;DIJON CEDEX;France;380395000;https://www.facebook.com/univbourgogne;https://twitter.com/univbourgogne;;http://www.u-bourgogne.fr/?q=flux+rss;;;;;;;http://fr.viadeo.com/fr/groups/?containerId=225n63d8xdchwe;;;http://www.youtube.com/user/UnivBourgogne;;Le réseau social de Bourgogne ( uBlink) = https://ub-link.fr/;26357
0311383K;Université Toulouse - Jean Jaurès;http://www.univ-tlse2.fr/;43.5784, 1.40266;A16;Toulouse;5 ALLEES ANTONIO MACHADO;31058;TOULOUSE CEDEX;France;561504250;https://www.facebook.com/pages/Universit%C3%A9-Toulouse-Jean-Jaur%C3%A8s/256170874775;https://twitter.com/UTJeanJaures;;http://www.univ-tlse2.fr/rss;;;http://plus.franceculture.fr/partenaires/toulouse-2-le-mirail;;;;http://www.viadeo.com/fr/company/universite-de-toulouse-jean-jaures;;;;;;24022
0331766R;Université Bordeaux-Montaigne;http://www.u-bordeaux-montaigne.fr/;44.8015, -0.615058;A04;Bordeaux;DOMAINE UNIVERSITAIRE;33607;PESSAC CEDEX;France;557124444;https://www.facebook.com/UBordeauxMontaigne;https://twitter.com/UBMontaigne;;http://www.u-bordeaux3.fr/_plugins/web/www/fr/filter/org.ametys.web.new.www.RSS/rss.xml;;;http://plus.franceculture.fr/partenaires/bordeaux-3-michel-de-montaigne;;;;;;;;;;14888
